waveform	Ch0	
t0	4/7/2025  12:39:50.381432	
delta t	0.000500	

time[0]	Ch0
4/7/2025  12:39:50.381432	-3.185361E-1
4/7/2025  12:39:50.381932	-3.273237E-1
4/7/2025  12:39:50.382432	-3.348094E-1
4/7/2025  12:39:50.382932	-3.393660E-1
4/7/2025  12:39:50.383432	-3.569411E-1
4/7/2025  12:39:50.383932	-3.627995E-1
4/7/2025  12:39:50.384432	-3.686579E-1
4/7/2025  12:39:50.384932	-3.754927E-1
4/7/2025  12:39:50.385432	-3.846058E-1
4/7/2025  12:39:50.385932	-3.816766E-1
4/7/2025  12:39:50.386432	-3.849313E-1
4/7/2025  12:39:50.386932	-3.859076E-1
4/7/2025  12:39:50.387432	-3.875350E-1
4/7/2025  12:39:50.387932	-3.852567E-1
4/7/2025  12:39:50.388432	-3.875350E-1
4/7/2025  12:39:50.388932	-3.872095E-1
4/7/2025  12:39:50.389432	-3.878604E-1
4/7/2025  12:39:50.389932	-3.888368E-1
4/7/2025  12:39:50.390432	-3.872095E-1
4/7/2025  12:39:50.390932	-3.855822E-1
4/7/2025  12:39:50.391432	-3.875350E-1
4/7/2025  12:39:50.391932	-3.888368E-1
4/7/2025  12:39:50.392432	-3.891623E-1
4/7/2025  12:39:50.392932	-3.849313E-1
4/7/2025  12:39:50.393432	-3.820021E-1
4/7/2025  12:39:50.393932	-3.767946E-1
4/7/2025  12:39:50.394432	-3.696343E-1
4/7/2025  12:39:50.394932	-3.699598E-1
4/7/2025  12:39:50.395432	-3.680070E-1
4/7/2025  12:39:50.395932	-3.712617E-1
4/7/2025  12:39:50.396432	-3.654033E-1
4/7/2025  12:39:50.396932	-3.696343E-1
4/7/2025  12:39:50.397432	-3.654033E-1
4/7/2025  12:39:50.397932	-3.641014E-1
4/7/2025  12:39:50.398432	-3.553138E-1
4/7/2025  12:39:50.398932	-3.494554E-1
4/7/2025  12:39:50.399432	-3.396914E-1
4/7/2025  12:39:50.399932	-3.309038E-1
4/7/2025  12:39:50.400432	-3.136541E-1
4/7/2025  12:39:50.400932	-2.999845E-1
4/7/2025  12:39:50.401432	-2.811075E-1
4/7/2025  12:39:50.401932	-2.606031E-1
4/7/2025  12:39:50.402432	-2.287074E-1
4/7/2025  12:39:50.402932	-1.990900E-1
4/7/2025  12:39:50.403432	-1.733781E-1
4/7/2025  12:39:50.403932	-1.483172E-1
4/7/2025  12:39:50.404432	-1.134923E-1
4/7/2025  12:39:50.404932	-8.094570E-2
4/7/2025  12:39:50.405432	-3.049842E-2
4/7/2025  12:39:50.405932	2.157620E-2
4/7/2025  12:39:50.406432	7.527814E-2
4/7/2025  12:39:50.406932	1.107540E-1
4/7/2025  12:39:50.407432	1.745454E-1
4/7/2025  12:39:50.407932	2.386622E-1
4/7/2025  12:39:50.408432	2.946424E-1
4/7/2025  12:39:50.408932	3.509481E-1
4/7/2025  12:39:50.409432	4.092066E-1
4/7/2025  12:39:50.409932	4.609557E-1
4/7/2025  12:39:50.410432	5.231198E-1
4/7/2025  12:39:50.410932	5.781236E-1
4/7/2025  12:39:50.411432	6.376840E-1
4/7/2025  12:39:50.411932	7.008244E-1
4/7/2025  12:39:50.412432	7.581065E-1
4/7/2025  12:39:50.412932	8.293836E-1
4/7/2025  12:39:50.413432	9.013117E-1
4/7/2025  12:39:50.413932	9.641267E-1
4/7/2025  12:39:50.414432	1.037031E+0
4/7/2025  12:39:50.414932	1.089431E+0
4/7/2025  12:39:50.415432	1.153874E+0
4/7/2025  12:39:50.415932	1.193580E+0
4/7/2025  12:39:50.416432	1.254443E+0
4/7/2025  12:39:50.416932	1.312376E+0
4/7/2025  12:39:50.417432	1.349804E+0
4/7/2025  12:39:50.417932	1.390488E+0
4/7/2025  12:39:50.418432	1.426614E+0
4/7/2025  12:39:50.418932	1.455906E+0
4/7/2025  12:39:50.419432	1.472831E+0
4/7/2025  12:39:50.419932	1.502773E+0
4/7/2025  12:39:50.420432	1.518396E+0
4/7/2025  12:39:50.420932	1.532065E+0
4/7/2025  12:39:50.421432	1.536297E+0
4/7/2025  12:39:50.421932	1.552244E+0
4/7/2025  12:39:50.422432	1.553546E+0
4/7/2025  12:39:50.422932	1.554523E+0
4/7/2025  12:39:50.423432	1.550617E+0
4/7/2025  12:39:50.423932	1.550617E+0
4/7/2025  12:39:50.424432	1.543457E+0
4/7/2025  12:39:50.424932	1.532065E+0
4/7/2025  12:39:50.425432	1.511887E+0
4/7/2025  12:39:50.425932	1.506679E+0
4/7/2025  12:39:50.426432	1.502773E+0
4/7/2025  12:39:50.426932	1.487151E+0
4/7/2025  12:39:50.427432	1.456883E+0
4/7/2025  12:39:50.427932	1.453628E+0
4/7/2025  12:39:50.428432	1.440284E+0
4/7/2025  12:39:50.428932	1.421407E+0
4/7/2025  12:39:50.429432	1.397648E+0
4/7/2025  12:39:50.429932	1.378445E+0
4/7/2025  12:39:50.430432	1.350781E+0
4/7/2025  12:39:50.430932	1.320512E+0
4/7/2025  12:39:50.431432	1.292522E+0
4/7/2025  12:39:50.431932	1.258674E+0
4/7/2025  12:39:50.432432	1.218316E+0
4/7/2025  12:39:50.432932	1.192279E+0
4/7/2025  12:39:50.433432	1.154850E+0
4/7/2025  12:39:50.433932	1.117421E+0
4/7/2025  12:39:50.434432	1.082271E+0
4/7/2025  12:39:50.434932	1.035078E+0
4/7/2025  12:39:50.435432	1.021734E+0
4/7/2025  12:39:50.435932	9.823528E-1
4/7/2025  12:39:50.436432	9.439478E-1
4/7/2025  12:39:50.436932	9.019626E-1
4/7/2025  12:39:50.437432	8.651849E-1
4/7/2025  12:39:50.437932	8.303600E-1
4/7/2025  12:39:50.438432	7.922805E-1
4/7/2025  12:39:50.438932	7.542009E-1
4/7/2025  12:39:50.439432	7.105884E-1
4/7/2025  12:39:50.439932	6.803201E-1
4/7/2025  12:39:50.440432	6.516790E-1
4/7/2025  12:39:50.440932	6.080665E-1
4/7/2025  12:39:50.441432	5.725907E-1
4/7/2025  12:39:50.441932	5.380913E-1
4/7/2025  12:39:50.442432	5.065210E-1
4/7/2025  12:39:50.442932	4.726725E-1
4/7/2025  12:39:50.443432	4.407768E-1
4/7/2025  12:39:50.443932	4.039991E-1
4/7/2025  12:39:50.444432	3.701506E-1
4/7/2025  12:39:50.444932	3.437879E-1
4/7/2025  12:39:50.445432	3.151468E-1
4/7/2025  12:39:50.445932	2.910623E-1
4/7/2025  12:39:50.446432	2.588412E-1
4/7/2025  12:39:50.446932	2.415914E-1
4/7/2025  12:39:50.447432	2.243417E-1
4/7/2025  12:39:50.447932	2.018845E-1
4/7/2025  12:39:50.448432	1.833330E-1
4/7/2025  12:39:50.448932	1.634795E-1
4/7/2025  12:39:50.449432	1.488335E-1
4/7/2025  12:39:50.449932	1.348385E-1
4/7/2025  12:39:50.450432	1.188906E-1
4/7/2025  12:39:50.450932	1.032682E-1
4/7/2025  12:39:50.451432	9.545705E-2
4/7/2025  12:39:50.451932	7.885827E-2
4/7/2025  12:39:50.452432	6.160856E-2
4/7/2025  12:39:50.452932	5.705203E-2
4/7/2025  12:39:50.453432	4.077871E-2
4/7/2025  12:39:50.453932	3.947685E-2
4/7/2025  12:39:50.454432	2.125073E-2
4/7/2025  12:39:50.454932	2.092526E-2
4/7/2025  12:39:50.455432	1.343954E-2
4/7/2025  12:39:50.455932	-1.194683E-2
4/7/2025  12:39:50.456432	-1.227230E-2
4/7/2025  12:39:50.456932	-1.943256E-2
4/7/2025  12:39:50.457432	-3.212575E-2
4/7/2025  12:39:50.457932	-4.188974E-2
4/7/2025  12:39:50.458432	-5.848852E-2
4/7/2025  12:39:50.458932	-7.248357E-2
4/7/2025  12:39:50.459432	-8.159663E-2
4/7/2025  12:39:50.459932	-9.201155E-2
4/7/2025  12:39:50.460432	-1.050302E-1
4/7/2025  12:39:50.460932	-1.180489E-1
4/7/2025  12:39:50.461432	-1.349731E-1
4/7/2025  12:39:50.461932	-1.460390E-1
4/7/2025  12:39:50.462432	-1.492936E-1
4/7/2025  12:39:50.462932	-1.489682E-1
4/7/2025  12:39:50.463432	-1.697980E-1
4/7/2025  12:39:50.463932	-1.737036E-1
4/7/2025  12:39:50.464432	-1.789111E-1
4/7/2025  12:39:50.464932	-1.925806E-1
4/7/2025  12:39:50.465432	-1.961608E-1
4/7/2025  12:39:50.465932	-2.072266E-1
4/7/2025  12:39:50.466432	-2.241509E-1
4/7/2025  12:39:50.466932	-2.140614E-1
4/7/2025  12:39:50.467432	-2.179670E-1
4/7/2025  12:39:50.467932	-2.166652E-1
4/7/2025  12:39:50.468432	-2.283819E-1
4/7/2025  12:39:50.468932	-2.316366E-1
4/7/2025  12:39:50.469432	-2.300093E-1
4/7/2025  12:39:50.469932	-2.267546E-1
4/7/2025  12:39:50.470432	-2.329385E-1
4/7/2025  12:39:50.470932	-2.335894E-1
4/7/2025  12:39:50.471432	-2.326130E-1
4/7/2025  12:39:50.471932	-2.329385E-1
4/7/2025  12:39:50.472432	-2.309857E-1
4/7/2025  12:39:50.472932	-2.332639E-1
4/7/2025  12:39:50.473432	-2.368441E-1
4/7/2025  12:39:50.473932	-2.365186E-1
4/7/2025  12:39:50.474432	-2.251273E-1
4/7/2025  12:39:50.474932	-2.348913E-1
4/7/2025  12:39:50.475432	-2.306602E-1
4/7/2025  12:39:50.475932	-2.381459E-1
4/7/2025  12:39:50.476432	-2.365186E-1
4/7/2025  12:39:50.476932	-2.387969E-1
4/7/2025  12:39:50.477432	-2.466081E-1
4/7/2025  12:39:50.477932	-2.511646E-1
4/7/2025  12:39:50.478432	-2.596267E-1
4/7/2025  12:39:50.478932	-2.654851E-1
4/7/2025  12:39:50.479432	-2.664615E-1
4/7/2025  12:39:50.479932	-2.719944E-1
4/7/2025  12:39:50.480432	-2.791547E-1
4/7/2025  12:39:50.480932	-2.830603E-1
4/7/2025  12:39:50.481432	-2.869659E-1
4/7/2025  12:39:50.481932	-2.895696E-1
4/7/2025  12:39:50.482432	-2.902205E-1
4/7/2025  12:39:50.482932	-2.947771E-1
4/7/2025  12:39:50.483432	-2.986827E-1
4/7/2025  12:39:50.483932	-3.055175E-1
4/7/2025  12:39:50.484432	-3.100740E-1
4/7/2025  12:39:50.484932	-3.162579E-1
4/7/2025  12:39:50.485432	-3.152815E-1
4/7/2025  12:39:50.485932	-3.152815E-1
4/7/2025  12:39:50.486432	-3.133287E-1
4/7/2025  12:39:50.486932	-3.130032E-1
4/7/2025  12:39:50.487432	-3.162579E-1
4/7/2025  12:39:50.487932	-3.162579E-1
4/7/2025  12:39:50.488432	-3.133287E-1
4/7/2025  12:39:50.488932	-3.123523E-1
4/7/2025  12:39:50.489432	-3.074703E-1
4/7/2025  12:39:50.489932	-3.074703E-1
4/7/2025  12:39:50.490432	-3.032392E-1
4/7/2025  12:39:50.490932	-2.970553E-1
4/7/2025  12:39:50.491432	-2.970553E-1
4/7/2025  12:39:50.491932	-2.934752E-1
4/7/2025  12:39:50.492432	-2.934752E-1
4/7/2025  12:39:50.492932	-2.967299E-1
4/7/2025  12:39:50.493432	-2.967299E-1
4/7/2025  12:39:50.493932	-2.924988E-1
4/7/2025  12:39:50.494432	-2.915224E-1
4/7/2025  12:39:50.494932	-2.781783E-1
4/7/2025  12:39:50.495432	-2.820839E-1
4/7/2025  12:39:50.495932	-2.820839E-1
4/7/2025  12:39:50.496432	-2.798056E-1
4/7/2025  12:39:50.496932	-2.772019E-1
4/7/2025  12:39:50.497432	-2.856640E-1
4/7/2025  12:39:50.497932	-2.931497E-1
4/7/2025  12:39:50.498432	-2.954280E-1
4/7/2025  12:39:50.498932	-2.977063E-1
4/7/2025  12:39:50.499432	-3.022628E-1
4/7/2025  12:39:50.499932	-3.045411E-1
4/7/2025  12:39:50.500432	-3.077957E-1
4/7/2025  12:39:50.500932	-3.097485E-1
4/7/2025  12:39:50.501432	-3.110504E-1
4/7/2025  12:39:50.501932	-3.042156E-1
4/7/2025  12:39:50.502432	-3.087721E-1
4/7/2025  12:39:50.502932	-3.133287E-1
4/7/2025  12:39:50.503432	-3.201635E-1
4/7/2025  12:39:50.503932	-3.230926E-1
4/7/2025  12:39:50.504432	-3.260218E-1
4/7/2025  12:39:50.504932	-3.299274E-1
4/7/2025  12:39:50.505432	-3.322057E-1
4/7/2025  12:39:50.505932	-3.309038E-1
4/7/2025  12:39:50.506432	-3.292765E-1
4/7/2025  12:39:50.506932	-3.318802E-1
4/7/2025  12:39:50.507432	-3.269982E-1
4/7/2025  12:39:50.507932	-3.247200E-1
4/7/2025  12:39:50.508432	-3.240690E-1
4/7/2025  12:39:50.508932	-3.224417E-1
4/7/2025  12:39:50.509432	-3.159324E-1
4/7/2025  12:39:50.509932	-3.156069E-1
4/7/2025  12:39:50.510432	-3.136541E-1
4/7/2025  12:39:50.510932	-3.139796E-1
4/7/2025  12:39:50.511432	-3.058429E-1
4/7/2025  12:39:50.511932	-3.042156E-1
4/7/2025  12:39:50.512432	-3.035647E-1
4/7/2025  12:39:50.512932	-2.996591E-1
4/7/2025  12:39:50.513432	-2.977063E-1
4/7/2025  12:39:50.513932	-2.957535E-1
4/7/2025  12:39:50.514432	-2.924988E-1
4/7/2025  12:39:50.514932	-2.876168E-1
4/7/2025  12:39:50.515432	-2.905460E-1
4/7/2025  12:39:50.515932	-2.830603E-1
4/7/2025  12:39:50.516432	-2.833858E-1
4/7/2025  12:39:50.516932	-2.911969E-1
4/7/2025  12:39:50.517432	-2.934752E-1
4/7/2025  12:39:50.517932	-2.954280E-1
4/7/2025  12:39:50.518432	-3.006355E-1
4/7/2025  12:39:50.518932	-3.035647E-1
4/7/2025  12:39:50.519432	-3.038901E-1
4/7/2025  12:39:50.519932	-3.074703E-1
4/7/2025  12:39:50.520432	-3.090976E-1
4/7/2025  12:39:50.520932	-3.071448E-1
4/7/2025  12:39:50.521432	-3.130032E-1
4/7/2025  12:39:50.521932	-3.139796E-1
