waveform	Ch0	
t0	03/06/2025  21:41:17.395097	
delta t	0.000500	

time[0]	Ch0
03/06/2025  21:41:17.395097	-1.137072E-1
03/06/2025  21:41:17.395597	-8.614973E-2
03/06/2025  21:41:17.396097	-6.650479E-2
03/06/2025  21:41:17.396597	-6.070680E-2
03/06/2025  21:41:17.397097	-4.065259E-2
03/06/2025  21:41:17.397597	-3.253541E-2
03/06/2025  21:41:17.398097	-2.039374E-2
03/06/2025  21:41:17.398597	-8.388503E-3
03/06/2025  21:41:17.399097	-6.819636E-3
03/06/2025  21:41:17.399597	9.564861E-4
03/06/2025  21:41:17.400097	-3.204422E-3
03/06/2025  21:41:17.400597	8.323339E-3
03/06/2025  21:41:17.401097	1.118823E-2
03/06/2025  21:41:17.401597	1.057432E-2
03/06/2025  21:41:17.402097	-8.797773E-3
03/06/2025  21:41:17.402597	-1.691495E-2
03/06/2025  21:41:17.403097	-4.331284E-2
03/06/2025  21:41:17.403597	-5.177108E-2
03/06/2025  21:41:17.404097	-7.366700E-2
03/06/2025  21:41:17.404597	-8.696827E-2
03/06/2025  21:41:17.405097	-8.887819E-2
03/06/2025  21:41:17.405597	-1.035437E-1
03/06/2025  21:41:17.406097	-1.143211E-1
03/06/2025  21:41:17.406597	-1.419468E-1
03/06/2025  21:41:17.407097	-1.550434E-1
03/06/2025  21:41:17.407597	-1.746202E-1
03/06/2025  21:41:17.408097	-1.733924E-1
03/06/2025  21:41:17.408597	-1.863526E-1
03/06/2025  21:41:17.409097	-2.045651E-1
03/06/2025  21:41:17.409597	-1.938558E-1
03/06/2025  21:41:17.410097	-2.151379E-1
03/06/2025  21:41:17.410597	-2.102948E-1
03/06/2025  21:41:17.411097	-2.045651E-1
03/06/2025  21:41:17.411597	-1.942651E-1
03/06/2025  21:41:17.412097	-1.874440E-1
03/06/2025  21:41:17.412597	-1.864208E-1
03/06/2025  21:41:17.413097	-1.704593E-1
03/06/2025  21:41:17.413597	-1.611143E-1
03/06/2025  21:41:17.414097	-1.450163E-1
03/06/2025  21:41:17.414597	-1.270085E-1
03/06/2025  21:41:17.415097	-9.494902E-2
03/06/2025  21:41:17.415597	-8.519477E-2
03/06/2025  21:41:17.416097	-8.089743E-2
03/06/2025  21:41:17.416597	-5.702337E-2
03/06/2025  21:41:17.417097	-4.467707E-2
03/06/2025  21:41:17.417597	-4.440423E-2
03/06/2025  21:41:17.418097	-1.254941E-2
03/06/2025  21:41:17.418597	-1.227656E-2
03/06/2025  21:41:17.419097	-6.137520E-3
03/06/2025  21:41:17.419597	4.435278E-3
03/06/2025  21:41:17.420097	2.525353E-3
03/06/2025  21:41:17.420597	-3.886538E-3
03/06/2025  21:41:17.421097	9.564861E-4
03/06/2025  21:41:17.421597	-4.909712E-3
03/06/2025  21:41:17.422097	-4.295807E-3
03/06/2025  21:41:17.422597	-2.278115E-2
03/06/2025  21:41:17.423097	-2.578246E-2
03/06/2025  21:41:17.423597	-4.604131E-2
03/06/2025  21:41:17.424097	-7.012000E-2
03/06/2025  21:41:17.424597	-9.713180E-2
03/06/2025  21:41:17.425097	-1.030662E-1
03/06/2025  21:41:17.425597	-1.235297E-1
03/06/2025  21:41:17.426097	-1.229158E-1
03/06/2025  21:41:17.426597	-1.441296E-1
03/06/2025  21:41:17.427097	-1.555891E-1
03/06/2025  21:41:17.427597	-1.682765E-1
03/06/2025  21:41:17.428097	-1.763937E-1
03/06/2025  21:41:17.428597	-1.964479E-1
03/06/2025  21:41:17.429097	-2.014273E-1
03/06/2025  21:41:17.429597	-2.199127E-1
03/06/2025  21:41:17.430097	-2.148650E-1
03/06/2025  21:41:17.430597	-2.021777E-1
03/06/2025  21:41:17.431097	-1.956293E-1
03/06/2025  21:41:17.431597	-2.012227E-1
03/06/2025  21:41:17.432097	-1.910592E-1
03/06/2025  21:41:17.432597	-1.774168E-1
03/06/2025  21:41:17.433097	-1.665030E-1
03/06/2025  21:41:17.433597	-1.396276E-1
03/06/2025  21:41:17.434097	-1.514964E-1
03/06/2025  21:41:17.434597	-1.361488E-1
03/06/2025  21:41:17.435097	-1.152761E-1
03/06/2025  21:41:17.435597	-9.153844E-2
03/06/2025  21:41:17.436097	-6.848292E-2
03/06/2025  21:41:17.436597	-4.638236E-2
03/06/2025  21:41:17.437097	-3.485460E-2
03/06/2025  21:41:17.437597	-2.339506E-2
03/06/2025  21:41:17.438097	-1.302689E-2
03/06/2025  21:41:17.438597	-9.343466E-3
03/06/2025  21:41:17.439097	-2.031111E-4
03/06/2025  21:41:17.439597	1.016505E-2
03/06/2025  21:41:17.440097	8.459762E-3
03/06/2025  21:41:17.440597	1.159750E-2
03/06/2025  21:41:17.441097	2.729988E-3
03/06/2025  21:41:17.441597	-5.796462E-3
