waveform	Ch0	
t0	03/06/2025  21:46:52.352057	
delta t	0.000500	

time[0]	Ch0
03/06/2025  21:46:52.352057	1.843121E+0
03/06/2025  21:46:52.352557	1.959034E+0
03/06/2025  21:46:52.353057	1.999409E+0
03/06/2025  21:46:52.353557	2.093507E+0
03/06/2025  21:46:52.354057	2.190862E+0
03/06/2025  21:46:52.354557	2.285612E+0
03/06/2025  21:46:52.355057	2.370919E+0
03/06/2025  21:46:52.355557	2.456877E+0
03/06/2025  21:46:52.356057	2.471855E+0
03/06/2025  21:46:52.356557	2.486507E+0
03/06/2025  21:46:52.357057	2.473483E+0
03/06/2025  21:46:52.357557	2.424317E+0
03/06/2025  21:46:52.358057	2.392408E+0
03/06/2025  21:46:52.358557	2.353336E+0
03/06/2025  21:46:52.359057	2.290496E+0
03/06/2025  21:46:52.359557	2.214305E+0
03/06/2025  21:46:52.360057	2.103926E+0
03/06/2025  21:46:52.360557	2.002665E+0
03/06/2025  21:46:52.361057	1.923218E+0
03/06/2025  21:46:52.361557	1.843121E+0
03/06/2025  21:46:52.362057	1.741859E+0
03/06/2025  21:46:52.362557	1.615200E+0
03/06/2025  21:46:52.363057	1.530870E+0
03/06/2025  21:46:52.363557	1.469006E+0
03/06/2025  21:46:52.364057	1.401606E+0
03/06/2025  21:46:52.364557	1.318904E+0
03/06/2025  21:46:52.365057	1.258342E+0
03/06/2025  21:46:52.365557	1.234248E+0
03/06/2025  21:46:52.366057	1.205920E+0
03/06/2025  21:46:52.366557	1.141777E+0
03/06/2025  21:46:52.367057	1.113124E+0
03/06/2025  21:46:52.367557	1.069819E+0
03/06/2025  21:46:52.368057	1.012188E+0
03/06/2025  21:46:52.368557	9.806049E-1
03/06/2025  21:46:52.369057	9.415328E-1
03/06/2025  21:46:52.369557	9.044143E-1
03/06/2025  21:46:52.370057	8.562255E-1
03/06/2025  21:46:52.370557	8.213862E-1
03/06/2025  21:46:52.371057	7.839422E-1
03/06/2025  21:46:52.371557	6.839828E-1
03/06/2025  21:46:52.372057	6.364452E-1
03/06/2025  21:46:52.372557	5.599290E-1
03/06/2025  21:46:52.373057	5.075074E-1
03/06/2025  21:46:52.373557	4.003848E-1
03/06/2025  21:46:52.374057	2.773078E-1
03/06/2025  21:46:52.374557	1.734413E-1
03/06/2025  21:46:52.375057	8.227315E-2
03/06/2025  21:46:52.375557	6.733845E-3
03/06/2025  21:46:52.376057	-6.457266E-2
03/06/2025  21:46:52.376557	-1.410888E-1
03/06/2025  21:46:52.377057	-1.795096E-1
03/06/2025  21:46:52.377557	-2.342105E-1
03/06/2025  21:46:52.378057	-2.970514E-1
03/06/2025  21:46:52.378557	-3.934291E-1
03/06/2025  21:46:52.379057	-4.442228E-1
03/06/2025  21:46:52.379557	-4.969701E-1
03/06/2025  21:46:52.380057	-5.220413E-1
03/06/2025  21:46:52.380557	-5.506942E-1
03/06/2025  21:46:52.381057	-5.741374E-1
03/06/2025  21:46:52.381557	-6.047438E-1
03/06/2025  21:46:52.382057	-6.431647E-1
03/06/2025  21:46:52.382557	-6.718175E-1
03/06/2025  21:46:52.383057	-6.809344E-1
03/06/2025  21:46:52.383557	-6.825624E-1
03/06/2025  21:46:52.384057	-6.806087E-1
03/06/2025  21:46:52.384557	-6.851672E-1
