waveform	Ch0	
t0	03/06/2025  21:45:37.685769	
delta t	0.000500	

time[0]	Ch0
03/06/2025  21:45:37.685769	-1.329488E-1
03/06/2025  21:45:37.686269	-1.967664E-1
03/06/2025  21:45:37.686769	-2.570025E-1
03/06/2025  21:45:37.687269	-2.247681E-1
03/06/2025  21:45:37.687769	-3.397051E-1
03/06/2025  21:45:37.688269	-4.194772E-1
03/06/2025  21:45:37.688769	-4.611540E-1
03/06/2025  21:45:37.689269	-5.220413E-1
03/06/2025  21:45:37.689769	-5.493918E-1
03/06/2025  21:45:37.690269	-6.109302E-1
03/06/2025  21:45:37.690769	-6.467463E-1
03/06/2025  21:45:37.691269	-6.890744E-1
03/06/2025  21:45:37.691769	-7.216344E-1
03/06/2025  21:45:37.692269	-8.310362E-1
03/06/2025  21:45:37.692769	-8.053137E-1
03/06/2025  21:45:37.693269	-7.766609E-1
03/06/2025  21:45:37.693769	-7.447520E-1
03/06/2025  21:45:37.694269	-7.388912E-1
03/06/2025  21:45:37.694769	-6.825624E-1
03/06/2025  21:45:37.695269	-6.841904E-1
03/06/2025  21:45:37.695769	-6.473975E-1
03/06/2025  21:45:37.696269	-5.572062E-1
03/06/2025  21:45:37.696769	-4.409668E-1
03/06/2025  21:45:37.697269	-3.989643E-1
03/06/2025  21:45:37.697769	-3.439379E-1
03/06/2025  21:45:37.698269	-2.996562E-1
03/06/2025  21:45:37.698769	-2.338849E-1
03/06/2025  21:45:37.699269	-1.658344E-1
03/06/2025  21:45:37.699769	-1.759280E-1
03/06/2025  21:45:37.700269	-1.169943E-1
03/06/2025  21:45:37.700769	-3.885022E-2
03/06/2025  21:45:37.701269	-1.866299E-2
03/06/2025  21:45:37.701769	4.906191E-2
03/06/2025  21:45:37.702269	5.362031E-2
03/06/2025  21:45:37.702769	7.445874E-2
03/06/2025  21:45:37.703269	4.613150E-2
03/06/2025  21:45:37.703769	8.748276E-2
03/06/2025  21:45:37.704269	3.929389E-2
03/06/2025  21:45:37.704769	2.826639E-3
03/06/2025  21:45:37.705269	-2.289580E-2
03/06/2025  21:45:37.705769	-7.727108E-2
03/06/2025  21:45:37.706269	-1.420656E-1
03/06/2025  21:45:37.706769	-2.602585E-1
03/06/2025  21:45:37.707269	-3.263554E-1
