waveform	Ch0	
t0	4/7/2025  12:44:44.915300	
delta t	0.000500	

time[0]	Ch0
4/7/2025  12:44:44.915300	-1.408315E-1
4/7/2025  12:44:44.915800	-1.359495E-1
4/7/2025  12:44:44.916300	-1.307420E-1
4/7/2025  12:44:44.916800	-1.304166E-1
4/7/2025  12:44:44.917300	-1.278128E-1
4/7/2025  12:44:44.917800	-1.248837E-1
4/7/2025  12:44:44.918300	-1.265110E-1
4/7/2025  12:44:44.918800	-1.206526E-1
4/7/2025  12:44:44.919300	-1.196762E-1
4/7/2025  12:44:44.919800	-1.177234E-1
4/7/2025  12:44:44.920300	-1.105631E-1
4/7/2025  12:44:44.920800	-1.066575E-1
4/7/2025  12:44:44.921300	-1.170725E-1
4/7/2025  12:44:44.921800	-1.034029E-1
4/7/2025  12:44:44.922300	-9.884635E-2
4/7/2025  12:44:44.922800	-1.001482E-1
4/7/2025  12:44:44.923300	-9.298795E-2
4/7/2025  12:44:44.923800	-8.289850E-2
4/7/2025  12:44:44.924300	-8.192210E-2
4/7/2025  12:44:44.924800	-8.712956E-2
4/7/2025  12:44:44.925300	-8.973329E-2
4/7/2025  12:44:44.925800	-9.103515E-2
4/7/2025  12:44:44.926300	-9.005875E-2
4/7/2025  12:44:44.926800	-9.526622E-2
4/7/2025  12:44:44.927300	-1.021010E-1
4/7/2025  12:44:44.927800	-1.011246E-1
4/7/2025  12:44:44.928300	-1.066575E-1
4/7/2025  12:44:44.928800	-1.069830E-1
4/7/2025  12:44:44.929300	-1.105631E-1
4/7/2025  12:44:44.929800	-1.151197E-1
4/7/2025  12:44:44.930300	-1.099122E-1
4/7/2025  12:44:44.930800	-1.069830E-1
4/7/2025  12:44:44.931300	-1.229309E-1
4/7/2025  12:44:44.931800	-1.245582E-1
4/7/2025  12:44:44.932300	-1.297656E-1
4/7/2025  12:44:44.932800	-1.359495E-1
4/7/2025  12:44:44.933300	-1.356240E-1
4/7/2025  12:44:44.933800	-1.349731E-1
