Time (s),	Channel 1 (V),	Channel 2 (V)
-2.8336556673015605	1.5381215506955306	1.5391682419165547
-2.8329840773015604	1.5381215506955306	1.5391682419165547
-2.8323124873015604	1.5381215506955306	1.5395096822852747
-2.8316408973015603	1.5381215506955306	1.5388268015478344
-2.8309693073015603	1.5381215506955306	1.5388268015478344
-2.83029771730156	1.5381215506955306	1.5395096822852747
-2.82962612730156	1.5381215506955306	1.5391682419165547
-2.82895453730156	1.5381215506955306	1.5391682419165544
-2.8282829473015605	1.5381215506955306	1.5384853611791145
-2.8276113573015604	1.5381215506955306	1.5388268015478344
-2.8269397673015604	1.5381215506955306	1.5395096822852747
-2.8262681773015603	1.5381215506955306	1.5395096822852747
-2.8255965873015603	1.5381215506955306	1.5395096822852747
-2.82492499730156	1.5381215506955306	1.5391682419165547
-2.82425340730156	1.5381215506955306	1.5391682419165547
-2.82358181730156	1.5381215506955306	1.5391682419165544
-2.8229102273015605	1.5381215506955306	1.5388268015478346
-2.8222386373015604	1.5381215506955306	1.5401925630227153
-2.8215670473015604	1.5381215506955306	1.5391682419165547
-2.8208954573015603	1.5381215506955306	1.5391682419165547
-2.8202238673015603	1.5381215506955306	1.5391682419165547
-2.81955227730156	1.5381215506955306	1.5391682419165547
-2.81888068730156	1.5381215506955306	1.5395096822852747
-2.81820909730156	1.5381215506955306	1.5395096822852745
-2.8175375073015605	1.5381215506955306	1.5391682419165549
-2.8168659173015604	1.5384650011834897	1.5395096822852747
-2.8161943273015604	1.5381215506955306	1.539851122653995
-2.8155227373015603	1.5381215506955306	1.5391682419165547
-2.8148511473015603	1.5381215506955306	1.5395096822852747
-2.81417955730156	1.5381215506955306	1.539851122653995
-2.81350796730156	1.5381215506955306	1.5395096822852747
-2.81283637730156	1.5381215506955306	1.5395096822852745
-2.8121647873015605	1.5381215506955306	1.5391682419165549
-2.8114931973015604	1.5381215506955306	1.5388268015478344
-2.8108216073015604	1.5381215506955306	1.5388268015478344
-2.8101500173015603	1.5381215506955306	1.5395096822852747
-2.8094784273015603	1.5381215506955306	1.5395096822852747
-2.80880683730156	1.5381215506955306	1.5391682419165547
-2.80813524730156	1.5381215506955306	1.5388268015478344
-2.80746365730156	1.5381215506955306	1.5395096822852745
-2.8067920673015605	1.5381215506955306	1.5391682419165549
-2.8061204773015604	1.5384650011834897	1.5391682419165547
-2.8054488873015604	1.5384650011834897	1.5391682419165547
-2.8047772973015603	1.5384650011834897	1.5395096822852747
-2.8041057073015603	1.5384650011834897	1.5391682419165547
-2.8034341173015602	1.5384650011834897	1.5395096822852747
-2.80276252730156	1.5384650011834897	1.5395096822852747
-2.80209093730156	1.5381215506955306	1.5395096822852747
-2.8014193473015605	1.5381215506955306	1.5395096822852747
-2.8007477573015604	1.5381215506955306	1.5395096822852747
-2.8000761673015604	1.5381215506955306	1.5391682419165547
-2.7994045773015603	1.5381215506955306	1.5388268015478344
-2.7987329873015603	1.5381215506955306	1.5391682419165547
-2.7980613973015602	1.5381215506955306	1.5395096822852747
-2.79738980730156	1.5381215506955306	1.539851122653995
-2.79671821730156	1.5381215506955306	1.5388268015478346
-2.7960466273015605	1.5381215506955306	1.5391682419165544
-2.7953750373015605	1.5381215506955306	1.5391682419165547
-2.7947034473015604	1.5381215506955306	1.539851122653995
-2.7940318573015603	1.5381215506955306	1.5395096822852747
-2.7933602673015603	1.5384650011834897	1.5395096822852747
-2.7926886773015602	1.5381215506955306	1.5395096822852747
-2.79201708730156	1.5381215506955306	1.5395096822852747
-2.79134549730156	1.5381215506955306	1.5395096822852747
-2.7906739073015605	1.5381215506955306	1.5395096822852747
-2.7900023173015605	1.5381215506955306	1.5395096822852747
-2.7893307273015604	1.5381215506955306	1.5395096822852747
-2.7886591373015603	1.5381215506955306	1.5395096822852747
-2.7879875473015603	1.5381215506955306	1.5391682419165547
-2.7873159573015602	1.5381215506955306	1.5388268015478344
-2.78664436730156	1.5381215506955306	1.5391682419165547
-2.78597277730156	1.5381215506955306	1.5388268015478346
-2.7853011873015605	1.5381215506955306	1.5391682419165544
-2.7846295973015605	1.5381215506955306	1.5395096822852747
-2.7839580073015604	1.5381215506955306	1.5388268015478344
-2.7832864173015603	1.5381215506955306	1.5395096822852747
-2.7826148273015603	1.5381215506955306	1.539851122653995
-2.7819432373015602	1.5381215506955306	1.5388268015478344
-2.78127164730156	1.5381215506955306	1.5391682419165547
-2.78060005730156	1.5381215506955306	1.5391682419165547
-2.7799284673015605	1.5381215506955306	1.5391682419165547
-2.7792568773015605	1.5381215506955306	1.5388268015478346
-2.7785852873015604	1.5381215506955306	1.5391682419165547
-2.7779136973015603	1.5381215506955306	1.5395096822852747
-2.7772421073015603	1.5381215506955306	1.5391682419165547
-2.7765705173015602	1.5381215506955306	1.5395096822852747
-2.77589892730156	1.5381215506955306	1.5384853611791143
-2.77522733730156	1.5381215506955306	1.5395096822852745
-2.7745557473015605	1.5381215506955306	1.5391682419165549
-2.7738841573015605	1.5381215506955306	1.5395096822852745
-2.7732125673015604	1.5381215506955306	1.5391682419165547
-2.7725409773015603	1.5381215506955306	1.5388268015478344
-2.7718693873015603	1.5381215506955306	1.5388268015478344
-2.7711977973015602	1.5381215506955306	1.5391682419165547
-2.77052620730156	1.5381215506955306	1.5395096822852747
-2.76985461730156	1.5381215506955306	1.5391682419165544
-2.7691830273015605	1.5381215506955306	1.5388268015478346
-2.7685114373015605	1.5381215506955306	1.5398511226539946
-2.7678398473015604	1.5381215506955306	1.5391682419165547
