Time (s),Channel 1 (V),Channel 2 (V)
-0.01026301430321101,0.01184571808256063,0.0006068594290283141
-0.01025883430321101,0.01184571808256063,0.0009482997977485336
-0.01025465430321101,0.01184571808256063,0.0009482997977485336
-0.01025047430321101,0.01184571808256063,0.0006068594290283141
-0.01024629430321101,0.01184571808256063,0.0009482997977485336
-0.01024211430321101,0.01561779670116437,0.001289740166468739
-0.01023793430321101,0.01561779670116437,0.0009482997977486888
-0.01023375430321101,0.01561779670116608,0.001289740166468584
-0.01022957430321101,0.01938987531976639,0.0009482997977485336
-0.01022539430321101,0.01561779670116437,0.0009482997977485336
-0.01022121430321101,0.01561779670116437,0.0009482997977485336
-0.01021703430321101,0.01184571808256063,0.0009482997977485336
-0.01021285430321101,0.01184571808256063,0.001289740166468584
-0.01020867430321101,0.01561779670116265,0.0009482997977486888
-0.01020449430321101,0.01561779670116437,0.001289740166468584
-0.01020031430321101,0.01561779670116437,0.0009482997977485336
-0.01019613430321101,0.01184571808256063,0.0009482997977485336
-0.01019195430321101,0.01184571808256063,0.0009482997977485336
-0.01018777430321101,0.01561779670116437,0.0009482997977485336
-0.01018359430321101,0.01184571808256235,0.0009482997977485336
-0.01017941430321101,0.01184571808256235,0.001289740166468739
-0.01017523430321101,0.01561779670116093,0.001289740166468584
-0.01017105430321101,0.008073639463956894,0.0009482997977485336
-0.01016687430321101,0.01561779670116437,0.0009482997977485336
-0.01016269430321101,0.01184571808256063,0.0006068594290283141
-0.01015851430321101,0.01561779670116265,0.001289740166468429
-0.01015433430321101,0.01184571808256235,0.0006068594290286247
-0.01015015430321101,0.01561779670116437,0.001289740166468739
-0.01014597430321101,0.01561779670116437,0.001289740166468739
-0.01014179430321101,0.01561779670116437,0.0009482997977485336
-0.01013761430321101,0.01561779670116437,0.0009482997977485336
-0.01013343430321101,0.01184571808256063,0.0009482997977485336
-0.01012925430321101,0.01561779670116265,0.0006068594290284694
-0.01012507430321101,0.01184571808256235,0.0009482997977486888
-0.01012089430321101,0.01561779670116437,0.001289740166468739
-0.01011671430321101,0.01184571808256063,0.0009482997977485336
-0.01011253430321101,0.01561779670116437,0.0009482997977485336
-0.01010835430321101,0.01561779670116437,0.001289740166468739
-0.01010417430321101,0.01561779670116437,0.0009482997977486888
-0.01009999430321101,0.01561779670116437,0.0009482997977486888
-0.01009581430321101,0.01561779670116437,0.001289740166468739
-0.01009163430321101,0.01561779670116437,0.001289740166468739
-0.01008745430321101,0.01561779670116437,0.0009482997977485336
-0.01008327430321101,0.01561779670116437,0.0006068594290283141
-0.01007909430321101,0.01561779670116437,0.0009482997977483783
-0.01007491430321101,0.01561779670116437,0.001289740166468584
-0.01007073430321101,0.00807363946395861,0.0009482997977485336
-0.01006655430321101,0.01184571808256063,0.0009482997977485336
-0.01006237430321101,0.01561779670116437,0.0009482997977485336
-0.01005819430321101,0.008073639463956894,0.0006068594290283141
-0.01005401430321101,0.01184571808256063,0.0006068594290283141
-0.01004983430321101,0.01184571808256063,0.001289740166468429
-0.01004565430321101,0.01561779670116437,0.0009482997977485336
-0.01004147430321101,0.01561779670116437,0.0009482997977485336
-0.01003729430321101,0.01561779670116437,0.0009482997977485336
-0.01003311430321101,0.01561779670116437,0.0009482997977485336
-0.01002893430321101,0.0193898753197681,0.0009482997977485336
-0.01002475430321101,0.004301560845360019,0.0009482997977485336
-0.01002057430321101,0.01561779670115922,0.001289740166468584
-0.01001639430321101,0.01561779670116265,0.0009482997977485336
-0.01001221430321101,0.01184571808256063,0.0009482997977485336
-0.01000803430321101,0.01561779670116437,0.0009482997977485336
-0.01000385430321101,0.01184571808256063,0.0006068594290283141
-0.009999674303211008,0.01184571808256063,0.0009482997977485336
-0.009995494303211009,0.01184571808256063,0.0009482997977485336
-0.009991314303211006,0.01184571808256235,0.0009482997977485336
-0.009987134303211007,0.01561779670116437,0.0009482997977486888
-0.009982954303211007,0.01561779670116437,0.001289740166468739
-0.009978774303211008,0.01561779670116437,0.0006068594290283141
-0.009974594303211008,0.01184571808256063,0.001289740166468739
-0.009970414303211009,0.01561779670116265,0.0006068594290286247
-0.009966234303211009,0.01561779670116437,0.001289740166468429
-0.009962054303211006,0.008073639463960326,0.0006068594290283141
-0.009957874303211007,0.01561779670116437,0.0006068594290283141
-0.009953694303211007,0.01184571808256063,0.0002654190603080947
-0.009949514303211008,0.01561779670116437,0.0009482997977485336
-0.009945334303211009,0.01184571808256063,0.0006068594290283141
-0.009941154303211009,0.01184571808256063,0.0009482997977483783
-0.009936974303211006,0.01561779670116265,0.0006068594290284694
-0.009932794303211007,0.01184571808256235,0.0009482997977483783
-0.009928614303211007,0.01561779670116437,0.0006068594290283141
-0.009924434303211008,0.01561779670116437,0.0009482997977485336
-0.009920254303211008,0.01184571808256063,0.0009482997977485336
-0.009916074303211009,0.01561779670116265,0.0009482997977485336
-0.009911894303211009,0.01184571808256235,0.0009482997977485336
-0.009907714303211006,0.01184571808256063,0.001289740166468429
-0.009903534303211007,0.01184571808256063,0.0006068594290283141
-0.009899354303211007,0.01561779670116437,0.001289740166468739
-0.009895174303211008,0.0193898753197681,0.0006068594290283141
-0.009890994303211009,0.01184571808256063,0.0009482997977485336
-0.009886814303211009,0.01184571808256063,0.0009482997977485336
-0.009882634303211006,0.01561779670116265,0.0009482997977485336
-0.009878454303211007,0.01184571808256063,0.0009482997977485336
-0.009874274303211007,0.01561779670116437,0.001289740166468739
-0.009870094303211008,0.01184571808256063,0.0009482997977485336
-0.009865914303211008,0.01184571808256063,0.0006068594290283141
-0.009861734303211009,0.01561779670116265,0.0006068594290283141
-0.009857554303211006,0.01184571808256406,0.0009482997977486888
-0.009853374303211006,0.01938987531976467,0.001289740166468429
-0.009849194303211007,0.01184571808256063,0.0006068594290283141
-0.009845014303211008,0.01184571808256063,0.0009482997977485336
-0.009840834303211008,0.01561779670116437,0.0006068594290283141
-0.009836654303211009,0.01561779670116437,0.0009482997977483783
-0.009832474303211009,0.01184571808256235,0.0009482997977485336
-0.009828294303211006,0.01938987531976639,0.0009482997977485336
-0.009824114303211007,0.01561779670116437,0.0009482997977485336
-0.009819934303211007,0.01561779670116437,0.0006068594290283141
-0.009815754303211008,0.01184571808256063,0.0009482997977485336
-0.009811574303211008,0.0193898753197681,0.0006068594290283141
-0.009807394303211009,0.01184571808256406,0.0009482997977483783
-0.009803214303211006,0.01561779670116265,0.0006068594290284694
-0.009799034303211007,0.01184571808256235,0.0009482997977483783
-0.009794854303211007,0.01561779670116437,0.0006068594290283141
-0.009790674303211008,0.01561779670116437,0.001289740166468739
-0.009786494303211008,0.01561779670116437,0.0006068594290283141
-0.009782314303211009,0.01561779670116437,0.0009482997977483783
-0.009778134303211009,0.01184571808256235,0.0002654190603084052
-0.009773954303211006,0.01184571808256235,0.001631180535188648
-0.009769774303211007,0.01561779670116437,0.0009482997977485336
-0.009765594303211007,0.01184571808256063,0.0009482997977485336
-0.009761414303211008,0.01561779670116437,0.0009482997977485336
-0.009757234303211008,0.01184571808256063,0.0006068594290283141
-0.009753054303211009,0.01184571808256063,0.0009482997977483783
-0.009748874303211006,0.01184571808256235,0.0009482997977485336
-0.009744694303211007,0.01561779670116437,0.0009482997977486888
-0.009740514303211007,0.01561779670116437,0.001289740166468739
-0.009736334303211008,0.01184571808256063,0.001289740166468739
-0.009732154303211008,0.01561779670116437,0.0009482997977485336
-0.009727974303211009,0.01561779670116437,0.0006068594290284694
-0.009723794303211009,0.01561779670116437,0.001289740166468429
-0.009719614303211006,0.01561779670116437,0.0009482997977483783
-0.009715434303211007,0.01561779670116437,0.0006068594290283141
-0.009711254303211007,0.01184571808256063,0.0006068594290283141
-0.009707074303211008,0.01561779670116437,0.001289740166468739
-0.009702894303211008,0.01184571808256063,0.001289740166468739
-0.009698714303211009,0.01561779670116265,0.0006068594290286247
-0.009694534303211006,0.008073639463960326,0.0002654190603084052
-0.009690354303211007,0.01561779670116437,0.0009482997977483783
-0.009686174303211007,0.01561779670116437,0.0006068594290283141
-0.009681994303211008,0.01184571808256063,0.0009482997977485336
-0.009677814303211008,0.01561779670116437,0.0006068594290283141
-0.009673634303211009,0.01561779670116437,0.0009482997977483783
-0.009669454303211009,0.01184571808256235,0.0006068594290284694
-0.009665274303211006,0.01184571808256235,0.0006068594290283141
-0.009661094303211007,0.01561779670116437,0.0006068594290283141
-0.009656914303211007,0.01184571808256063,0.0002654190603080947
-0.009652734303211008,0.01561779670116437,0.0006068594290283141
-0.009648554303211009,0.01184571808256063,0.0009482997977485336
-0.009644374303211009,0.01561779670116265,0.0006068594290284694
-0.009640194303211006,0.01561779670116265,0.0009482997977482231
-0.009636014303211007,0.01184571808256063,0.0002654190603080947
-0.009631834303211007,0.01561779670116437,0.0006068594290283141
-0.009627654303211008,0.01184571808256063,0.0009482997977485336
-0.009623474303211008,0.01184571808256063,0.0006068594290283141
-0.009619294303211009,0.01561779670116265,0.00026541906030825
-0.009615114303211006,0.01184571808256406,0.0006068594290283141
-0.009610934303211006,0.01938987531976639,0.0006068594290284694
-0.009606754303211007,0.01561779670116437,0.0009482997977485336
-0.009602574303211008,0.008073639463956894,0.0002654190603080947
-0.009598394303211008,0.01561779670116437,0.0006068594290283141
-0.009594214303211009,0.01561779670116437,0.0006068594290283141
-0.009590034303211009,0.01561779670116437,0.0009482997977483783
-0.009585854303211006,0.01184571808256235,0.0009482997977480678
-0.009581674303211007,0.01561779670116437,-7.602130841211086e-05
-0.009577494303211007,0.01561779670116437,0.0009482997977485336
