Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000,0.004154964049420047,-0.08727824098116346,-77.73699367138228
1020.172314171412,0.003786065593587168,-0.1073911121851348,-79.5351735190784
1040.751550601854,0.003413116148753798,-0.1288783381224874,-81.35946456792058
1061.745917854979,0.003134829614482139,-0.1524843141837901,-83.22412256880254
1083.163790080164,0.003098083498734457,-0.1785382584302459,-85.1317416821219
1105.013710352758,0.002516480753626798,-0.2072855642957085,-87.08724559318034
1127.304394081712,0.002570535336721782,-0.2385516142661286,-89.09083482873447
1150.04473248594,0.002489261594609106,-0.2737561044369468,-91.14315160687775
1173.243796140825,0.001940241753772136,-0.3116068223457265,-93.24486439773624
1196.910838596237,0.001834483429711738,-0.353369206433397,-95.39417580171346
1221.055300067568,0.001164465092707588,-0.3989144570882994,-97.59634308102204
1245.6868112012,0.001353541722269771,-0.4489141526808465,-99.85190687870005
1270.815196915934,0.001090154185500252,-0.5032341498393135,-102.1612362624704
1296.450480321927,0.0007374416013162963,-0.5628425982392178,-104.5244258559958
1322.602886718659,0.0002848688969737322,-0.6270967518046506,-106.940535629949
1349.282847673564,0.0004188093788809066,-0.6972414496850918,-109.411833166148
1376.501005182932,7.982861122656002e-05,-0.7733040884184877,-111.9359463368485
1404.268215916746,0.0005766724967886823,-0.8555968307358851,-114.5194987035907
1432.595555549147,-0.0002579753496094797,-0.9442539558285987,-117.1571299332064
1461.494323176253,-0.0008534443747445814,-1.040499489889718,-119.8472429393661
1490.976045823099,-0.001053496889250792,-1.143838017648734,-122.5941021663369
1521.052483041492,-0.001527363273964195,-1.254984567575239,-125.399732112774
1551.735631600611,-0.00137936711959102,-1.375412685755874,-128.2588686009934
1583.037730272233,-0.001514744929193733,-1.504091562471072,-131.1719372838889
1614.971264712484,-0.001884009617004698,-1.642442653975373,-134.1352215173137
1647.548972442066,-0.002020186651913,-1.790083815824674,-137.1558515224641
1680.783847926955,-0.001942734101182473,-1.948580624077092,-140.2246584218423
1714.689147761571,-0.002330177361491066,-2.117625076462284,-143.3423198150925
1749.278395956529,-0.002693011508679777,-2.297888813172853,-146.5113164529957
1784.565389333027,-0.002117004230562532,-2.490734018732447,-149.7220902220502
1820.56420302608,-0.002206638308565112,-2.695394269102912,-152.976648107276
1857.289196098749,-0.00212470700015457,-2.913265218052087,-156.2746821515244
1894.755017269623,-0.002277693432833134,-3.143591042224525,-159.6107047390302
1932.976610755843,-0.00237825853440914,-3.387787178102668,-162.9863765284797
1971.969222234002,-0.002009180861413982,-3.647322590780356,-166.380473630185
2011.748404921261,-0.002145729818334679,-3.920083587896533,-169.8132829512203
2052.330025779169,-0.002301590844881705,-4.208453924069379,-173.2662045706296
2093.730271842609,-0.002370065764966349,-4.511924899550717,-176.7391680611525
