#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C964
#Date Time: 2024-11-15 15:30:01.158
#Sample rate: 400Hz
#Samples: 4096

Time (s),UART2,UART
-2.095,hD4[Ô],h85
-2.0925,hD4[Ô],h85
-2.09,hD4[Ô],h85
-2.0875,hD4[Ô],h85
-2.085,hD4[Ô],h85
-2.0825,hD4[Ô],h85
-2.08,hD4[Ô],h85
-2.0775,hD4[Ô],h85
-2.075,hD4[Ô],h85
-2.0725,hD4[Ô],h85
-2.07,hD4[Ô],h85
-2.0675,hD4[Ô],h85
-2.065,hD4[Ô],h85
-2.0625,hD4[Ô],h85
-2.06,hD4[Ô],h85
-2.0575,hD4[Ô],h85
-2.055,hD4[Ô],h85
-2.0525,hD4[Ô],h85
-2.05,hD4[Ô],h85
-2.0475,hD4[Ô],h85
-2.045,hD4[Ô],h85
-2.0425,hD4[Ô],h85
-2.04,hD4[Ô],h85
-2.0375,hD4[Ô],h85
-2.035,hD4[Ô],h85
-2.0325,hD4[Ô],h85
-2.03,X,h85
-2.0275,X,h85
-2.025,X,h85
-2.0225,X,h85
-2.02,X,h85
-2.0175,X,h85
-2.015,X,h85
-2.0125,X,h85
-2.01,X,h85
-2.0075,X,h85
-2.005,X,h85
-2.0025,X,h85
-2,X,h85
-1.9975,X,h85
-1.995,X,h85
-1.9925,X,h85
-1.99,X,h85
-1.9875,X,h85
-1.985,X,h85
-1.9825,X,h85
-1.98,X,h85
-1.9775,X,h85
-1.975,X,h85
-1.9725,X,h85
-1.97,X,h85
-1.9675,X,h85
-1.965,X,h85
-1.9625,X,h85
-1.96,X,h85
-1.9575,h8A Framing Error,h85
-1.955,h8A Framing Error,h85
-1.9525,h8A Framing Error,h85
-1.95,h8A Framing Error,h85
-1.9475,h8A Framing Error,h85
-1.945,h8A Framing Error,h85
-1.9425,h8A Framing Error,h85
-1.94,h8A Framing Error,h85
-1.9375,h8A Framing Error,h85
-1.935,h8A Framing Error,h85
-1.9325,h8A Framing Error,h85
-1.93,h8A Framing Error,h85
-1.9275,h8A Framing Error,h85
-1.925,h8A Framing Error,h85
-1.9225,h8A Framing Error,h85
-1.92,h8A Framing Error,h85
-1.9175,h8A Framing Error,h85
-1.915,h8A Framing Error,h85
-1.9125,h8A Framing Error,h85
-1.91,h8A Framing Error,h85
-1.9075,h8A Framing Error,h85
-1.905,h8A Framing Error,h85
-1.9025,h8A Framing Error,h85
-1.9,h8A Framing Error,h85
-1.8975,h8A Framing Error,h85
-1.895,h8A Framing Error,h85
-1.8925,h8A Framing Error,h85
-1.89,h8A Framing Error,h85
-1.8875,h8A Framing Error,h85
-1.885,h8A Framing Error,h85
-1.8825,h8A Framing Error,h85
-1.88,h8A Framing Error,h85
-1.8775,h8A Framing Error,h85
-1.875,h8A Framing Error,X
-1.8725,h8A Framing Error,X
-1.87,h8A Framing Error,X
-1.8675,h8A Framing Error,X
-1.865,h8A Framing Error,X
-1.8625,h8A Framing Error,h5D[]]
-1.86,h8A Framing Error,h5D[]]
-1.8575,h8A Framing Error,h5D[]]
-1.855,h8A Framing Error,h5D[]]
-1.8525,h8A Framing Error,h5D[]]
-1.85,h8A Framing Error,h5D[]]
-1.8475,h8A Framing Error,h5D[]]
-1.845,h8A Framing Error,h5D[]]
-1.8425,h8A Framing Error,h5D[]]
-1.84,h8A Framing Error,h5D[]]
-1.8375,h8A Framing Error,h5D[]]
-1.835,h8A Framing Error,h5D[]]
-1.8325,h8A Framing Error,h5D[]]
-1.83,h8A Framing Error,h5D[]]
-1.8275,h8A Framing Error,h5D[]]
-1.825,h8A Framing Error,h5D[]]
-1.8225,h8A Framing Error,h5D[]]
-1.82,h8A Framing Error,h5D[]]
-1.8175,h8A Framing Error,h5D[]]
-1.815,h8A Framing Error,h5D[]]
-1.8125,h8A Framing Error,h5D[]]
-1.81,h8A Framing Error,h5D[]]
-1.8075,h8A Framing Error,h5D[]]
-1.805,h8A Framing Error,h5D[]]
-1.8025,h8A Framing Error,h5D[]]
-1.8,h8A Framing Error,h5D[]]
-1.7975,h8A Framing Error,h5D[]]
-1.795,h8A Framing Error,h5D[]]
-1.7925,h8A Framing Error,h5D[]]
-1.79,h8A Framing Error,h5D[]]
-1.7875,h8A Framing Error,h5D[]]
-1.785,h8A Framing Error,h5D[]]
-1.7825,h8A Framing Error,h5D[]]
-1.78,h8A Framing Error,h5D[]]
-1.7775,h8A Framing Error,h5D[]]
-1.775,h8A Framing Error,h5D[]]
-1.7725,h8A Framing Error,h5D[]]
-1.77,h8A Framing Error,h5D[]]
-1.7675,h8A Framing Error,h5D[]]
-1.765,h8A Framing Error,h5D[]]
-1.7625,h8A Framing Error,h5D[]]
-1.76,h8A Framing Error,h5D[]]
-1.7575,h8A Framing Error,h5D[]]
-1.755,h8A Framing Error,h5D[]]
-1.7525,h8A Framing Error,h5D[]]
-1.75,h8A Framing Error,h5D[]]
-1.7475,h8A Framing Error,h5D[]]
-1.745,h8A Framing Error,h5D[]]
