v1	V(output)	V(n007)	V(n008)
1.681792830507439e-03	-3.436173e-03	1.681575e-02	-4.505308e-05
1.693490624725065e-03	-3.436173e-03	1.693271e-02	-4.505308e-05
1.705269783535924e-03	-3.436173e-03	1.705049e-02	-4.505308e-05
1.717130872875518e-03	-3.436173e-03	1.716909e-02	-4.505308e-05
1.729074462615741e-03	-3.436173e-03	1.728851e-02	-4.505308e-05
1.741101126592259e-03	-3.436173e-03	1.740876e-02	-4.505308e-05
1.753211442632082e-03	-3.436173e-03	1.752985e-02	-4.505308e-05
1.765405992581321e-03	-3.436173e-03	1.765178e-02	-4.505308e-05
1.777685362333152e-03	-3.436173e-03	1.777455e-02	-4.505308e-05
1.790050141855957e-03	-3.436173e-03	1.789819e-02	-4.505308e-05
1.802500925221673e-03	-3.436173e-03	1.802268e-02	-4.505308e-05
1.815038310634334e-03	-3.436173e-03	1.814804e-02	-4.505308e-05
1.827662900458814e-03	-3.436173e-03	1.827427e-02	-4.505308e-05
1.840375301249763e-03	-3.436173e-03	1.840137e-02	-4.505308e-05
1.853176123780755e-03	-3.436173e-03	1.852936e-02	-4.505308e-05
1.866065983073628e-03	-3.436173e-03	1.865825e-02	-4.505308e-05
1.879045498428037e-03	-3.436173e-03	1.878803e-02	-4.505308e-05
1.892115293451205e-03	-3.436173e-03	1.891871e-02	-4.505308e-05
1.905275996087888e-03	-3.436173e-03	1.905030e-02	-4.505308e-05
1.918528238650543e-03	-3.436173e-03	1.918280e-02	-4.505308e-05
1.931872657849705e-03	-3.436173e-03	1.931623e-02	-4.505308e-05
1.945309894824585e-03	-3.436173e-03	1.945059e-02	-4.505308e-05
1.958840595173868e-03	-3.436173e-03	1.958588e-02	-4.505308e-05
1.972465408986733e-03	-3.436173e-03	1.972211e-02	-4.505308e-05
1.986184990874087e-03	-3.436173e-03	1.985928e-02	-4.505308e-05
2.000000000000016e-03	-3.436173e-03	1.999742e-02	-4.505308e-05
2.013911100113454e-03	-3.436173e-03	2.013651e-02	-4.505308e-05
2.027918959580075e-03	-3.436173e-03	2.027657e-02	-4.505308e-05
2.042024251414403e-03	-3.436173e-03	2.041760e-02	-4.505308e-05
2.056227653312150e-03	-3.436173e-03	2.055962e-02	-4.505308e-05
2.070529847682772e-03	-3.436173e-03	2.070262e-02	-4.505308e-05
2.084931521682260e-03	-3.436173e-03	2.084662e-02	-4.505308e-05
2.099433367246152e-03	-3.436173e-03	2.099162e-02	-4.505308e-05
2.114036081122779e-03	-3.436173e-03	2.113763e-02	-4.505308e-05
2.128740364906738e-03	-3.436173e-03	2.128465e-02	-4.505308e-05
2.143546925072605e-03	-3.436173e-03	2.143270e-02	-4.505308e-05
2.158456473008873e-03	-3.436173e-03	2.158178e-02	-4.505308e-05
2.173469725052135e-03	-3.436173e-03	2.173189e-02	-4.505308e-05
2.188587402521498e-03	-3.436173e-03	2.188305e-02	-4.505308e-05
2.203810231753241e-03	-3.436173e-03	2.203526e-02	-4.505308e-05
2.219138944135710e-03	-3.436173e-03	2.218853e-02	-4.505308e-05
2.234574276144460e-03	-3.436173e-03	2.234286e-02	-4.505308e-05
2.250116969377639e-03	-3.436173e-03	2.249826e-02	-4.505308e-05
2.265767770591618e-03	-3.436173e-03	2.265475e-02	-4.505308e-05
2.281527431736868e-03	-3.436173e-03	2.281233e-02	-4.505308e-05
2.297396709994091e-03	-3.436173e-03	2.297100e-02	-4.505308e-05
2.313376367810596e-03	-3.436173e-03	2.313078e-02	-4.505308e-05
2.329467172936933e-03	-3.436173e-03	2.329167e-02	-4.505308e-05
2.345669898463780e-03	-3.436173e-03	2.345367e-02	-4.505308e-05
2.361985322859083e-03	-3.436173e-03	2.361681e-02	-4.505308e-05
2.378414230005465e-03	-3.436173e-03	2.378107e-02	-4.505308e-05
2.394957409237880e-03	-3.436173e-03	2.394648e-02	-4.505308e-05
2.411615655381544e-03	-3.436173e-03	2.411305e-02	-4.505308e-05
2.428389768790117e-03	-3.436173e-03	2.428076e-02	-4.505308e-05
2.445280555384161e-03	-3.436173e-03	2.444965e-02	-4.505308e-05
2.462288826689857e-03	-3.436173e-03	2.461971e-02	-4.505308e-05
2.479415399877997e-03	-3.436173e-03	2.479096e-02	-4.505308e-05
2.496661097803248e-03	-3.436173e-03	2.496339e-02	-4.505308e-05
2.514026749043682e-03	-3.436173e-03	2.513703e-02	-4.505308e-05
2.531513187940585e-03	-3.436173e-03	2.531187e-02	-4.505308e-05
2.549121254638550e-03	-3.436173e-03	2.548793e-02	-4.505308e-05
2.566851795125834e-03	-3.436173e-03	2.566521e-02	-4.505308e-05
2.584705661275011e-03	-3.436173e-03	2.584372e-02	-4.505308e-05
2.602683710883894e-03	-3.436173e-03	2.602348e-02	-4.505308e-05
2.620786807716754e-03	-3.436173e-03	2.620449e-02	-4.505308e-05
2.639015821545816e-03	-3.436173e-03	2.638676e-02	-4.505308e-05
2.657371628193051e-03	-3.436173e-03	2.657029e-02	-4.505308e-05
